metric,method,p,significance,effect_type,effect_size,polarized_median,neutral_median,normal_polarized,normal_neutral,homoscedastic
char_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1174,4.5,4.6545,False,False,False
syll_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.083,1.3953,1.4333,False,False,False
complex_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0816,0.1154,0.1304,False,False,False
long_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1147,0.1818,0.2,False,False,False
difficult_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1644,0.3056,0.3465,False,False,False
