metric,method,p,significance,effect_type,effect_size,polarized_median,neutral_median,normal_polarized,normal_neutral,homoscedastic
char_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1059,4.734,4.8571,False,False,False
syll_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0782,1.5,1.5385,False,False,False
complex_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0642,0.1463,0.1579,False,False,False
long_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1018,0.2333,0.2561,False,False,False
difficult_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1849,0.3636,0.4118,False,False,False
