metric,method,p,significance,effect_type,effect_size,polarized_median,neutral_median,normal_polarized,normal_neutral,homoscedastic
char_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0428,4.9143,4.9655,False,False,False
syll_per_word,Mann-Whitney U,0.016,True,Rank-biserial r,-0.024,1.5556,1.56,False,False,False
complex_ratio,Mann-Whitney U,0.9806,False,Rank-biserial r,-0.0002,0.1667,0.1667,False,False,False
long_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0429,0.25,0.2683,False,False,False
difficult_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1102,0.3611,0.3846,False,False,False
