metric,method,p,significance,effect_type,effect_size,polarized_median,neutral_median,normal_polarized,normal_neutral,homoscedastic
char_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1069,4.8182,4.9524,False,False,False
syll_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0942,1.5143,1.5625,False,False,False
complex_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0856,0.1538,0.1667,False,False,False
long_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1128,0.2353,0.2632,False,False,False
difficult_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.1422,0.3636,0.4,False,False,False
