metric,method,p,significance,effect_type,effect_size,polarized_median,neutral_median,normal_polarized,normal_neutral,homoscedastic
char_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0814,4.9286,5.05,False,False,False
syll_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0815,1.5333,1.5714,False,False,False
complex_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0907,0.1538,0.1707,False,False,False
long_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.106,0.2571,0.28,False,False,False
difficult_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0893,0.3939,0.4167,False,False,False
