metric,method,p,significance,effect_type,effect_size,polarized_median,neutral_median,normal_polarized,normal_neutral,homoscedastic
char_per_word,Mann-Whitney U,0.0,True,Rank-biserial r,-0.073,4.6,4.6897,False,False,False
syll_per_word,Mann-Whitney U,0.0021,True,Rank-biserial r,-0.0434,1.4516,1.4667,False,False,False
complex_ratio,Mann-Whitney U,0.0269,True,Rank-biserial r,-0.0313,0.1389,0.1471,False,False,False
long_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0647,0.2,0.2143,False,False,False
difficult_ratio,Mann-Whitney U,0.0,True,Rank-biserial r,-0.0758,0.3243,0.3462,False,False,False
